"plate_x","plate_z","pitch_name","description","stand","release_speed","release_spin_rate"
-1.29,2.88,"4-Seam Fastball","ball","L",96.4,2335
-0.44,1.36,"4-Seam Fastball","swinging_strike","L",95,2389
1.5,1.03,"Slider","ball","L",89.2,2452
-0.07,1.4,"4-Seam Fastball","called_strike","L",96.4,2411
0.06,1.18,"Slider","ball","L",89,2465
0.77,1.81,"Knuckle Curve","called_strike","L",82.5,2677
-0.61,3.43,"Knuckle Curve","ball","L",83.7,2749
-0.63,2.87,"4-Seam Fastball","foul","L",96.6,2297
-1.59,4.49,"4-Seam Fastball","ball","L",96.1,2271
-0.34,2.57,"4-Seam Fastball","foul","L",95.9,2326
-0.34,2.26,"Changeup","foul","L",88.9,1440
-0.13,4.18,"4-Seam Fastball","ball","L",95,2244
0.46,1.83,"4-Seam Fastball","called_strike","L",97.2,2476
0.16,3.11,"4-Seam Fastball","hit_into_play","R",95.3,2288
0.54,3.57,"4-Seam Fastball","swinging_strike","R",94.9,2246
0.02,3.22,"4-Seam Fastball","foul","R",94.7,2305
0.27,3.01,"4-Seam Fastball","swinging_strike","L",96.2,2263
0.61,2.3,"4-Seam Fastball","foul","L",96.5,2397
-0.78,2.75,"4-Seam Fastball","foul","L",96.3,2301
0.2,1.31,"Slider","ball","L",91.1,2421
0.17,1.26,"Slider","swinging_strike","L",90.2,2575
-0.74,2.32,"4-Seam Fastball","called_strike","L",95.6,2225
0.84,4.25,"4-Seam Fastball","ball","L",95.7,2299
0.82,3.28,"4-Seam Fastball","ball","L",96.8,2307
-0.72,2.91,"4-Seam Fastball","hit_into_play","R",96.9,2242
0.73,2.85,"Slider","foul","R",90.4,2423
0.98,2.81,"Cutter","foul","R",93.2,2546
1.2,-0.23,"Slider","blocked_ball","R",89.8,2556
-0.54,3.99,"4-Seam Fastball","ball","R",95.5,2331
-0.89,1.44,"4-Seam Fastball","called_strike","R",95.9,2401
0.38,1.67,"Cutter","called_strike","R",92.6,2477
-0.76,2.72,"4-Seam Fastball","hit_into_play","L",94,2245
-0.2,1.73,"4-Seam Fastball","called_strike","L",94.5,2371
0.6,1.82,"4-Seam Fastball","hit_into_play","R",94.6,2404
0.12,2.08,"4-Seam Fastball","swinging_strike","L",96.6,2388
0.8,1.1,"Changeup","ball","L",90.2,1507
-0.45,0.64,"4-Seam Fastball","ball","L",97.7,2338
0.24,4.85,"4-Seam Fastball","ball","L",96.9,2402
0.59,3.12,"4-Seam Fastball","foul","L",97.5,2435
0.66,3.13,"4-Seam Fastball","foul","L",97,2345
0.55,1.67,"Slider","hit_into_play","R",88.7,2621
0.19,1.98,"Knuckle Curve","hit_into_play","L",82.7,2739
-0.39,2.86,"4-Seam Fastball","foul","L",96.4,2406
-0.55,0.72,"Changeup","ball","L",91.1,1638
0.17,3.3,"4-Seam Fastball","swinging_strike","L",96.4,2406
-0.3,2.79,"4-Seam Fastball","hit_into_play","L",97.7,2311
0.23,2.92,"4-Seam Fastball","foul","L",97,2280
1.33,1.68,"4-Seam Fastball","ball","L",98,2486
-0.52,0.53,"Knuckle Curve","blocked_ball","L",83.3,2721
0.41,2.97,"4-Seam Fastball","foul","L",97.5,2433
0.02,1.15,"Knuckle Curve","ball","L",82.7,2705
-0.27,2.33,"Knuckle Curve","hit_into_play","R",81,2649
0.02,3.61,"4-Seam Fastball","hit_into_play","L",95.4,2320
0.68,1.16,"Knuckle Curve","swinging_strike","L",82,2741
0.06,3.74,"4-Seam Fastball","ball","L",94.6,2328
0.89,2.82,"4-Seam Fastball","called_strike","L",94.7,2404
-0.23,2.27,"4-Seam Fastball","hit_into_play","R",97,2337
-0.59,4.13,"4-Seam Fastball","ball","L",97,2344
-0.41,3.01,"4-Seam Fastball","foul","L",97.2,2422
-1.36,3.44,"4-Seam Fastball","ball","L",98,2476
0.58,2.15,"4-Seam Fastball","called_strike","L",98.1,2465
