release_spin_rate,release_speed,balls,strikes,result_derived,stand,in_or_off_plate,num_on_base,outs_when_up
2382.0,89.3,2,1,ball,R,outside,0,0
2224.0,96.1,2,0,strike,R,inside,0,0
2078.0,93.8,1,0,ball,R,outside,0,0
1834.0,75.1,0,0,ball,R,outside,0,0
2302.0,96.5,1,2,out,R,inside,1,1
2242.0,98.1,0,2,ball,R,outside,1,1
1611.0,89.9,0,2,foul,R,outside,1,1
2277.0,91.8,0,1,foul,R,inside,1,1
2214.0,97.5,0,0,strike,R,inside,1,1
2121.0,96.5,2,2,walk,R,outside,0,1
1798.0,90.4,2,2,foul,R,inside,0,1
1588.0,91.2,2,1,strike,R,outside,0,1
2277.0,96.8,2,0,foul,R,inside,0,1
2329.0,89.3,1,0,ball,R,outside,0,1
1734.0,77.7,0,0,ball,R,outside,0,1
1749.0,90.5,1,2,out,L,inside,0,0
1988.0,76.3,0,2,ball,L,outside,0,0
2210.0,95.5,0,2,foul,L,outside,0,0
2295.0,91.1,0,1,foul,L,outside,0,0
1758.0,76.5,0,0,strike,L,inside,0,0
1759.0,89.6,3,2,out,R,inside,1,2
1764.0,88.8,2,2,ball,R,outside,1,2
2239.0,95.1,1,2,ball,R,outside,1,2
2198.0,95.9,1,1,foul,R,inside,1,2
1600.0,87.8,1,0,strike,R,inside,1,2
2307.0,89.9,0,0,ball,R,outside,1,2
2167.0,95.1,1,2,hit,R,inside,0,2
1863.0,88.8,1,1,foul,R,inside,0,2
2316.0,88.0,1,0,foul,R,outside,0,2
2326.0,89.1,0,0,ball,R,outside,0,2
2284.0,95.7,1,2,out,L,inside,0,1
1884.0,77.3,0,2,ball,L,outside,0,1
2160.0,95.5,0,1,foul,L,inside,0,1
2126.0,95.3,0,0,foul,L,inside,0,1
2242.0,96.2,2,2,out,R,outside,0,0
2383.0,93.7,1,2,ball,R,outside,0,0
2261.0,90.4,1,1,strike,R,inside,0,0
1723.0,90.1,1,0,foul,R,inside,0,0
2142.0,94.5,0,0,ball,R,inside,0,0
2190.0,95.3,0,0,out,L,inside,0,2
2429.0,89.2,0,1,out,R,inside,0,1
2240.0,94.8,0,0,strike,R,inside,0,1
2270.0,95.3,2,2,out,R,inside,0,0
1749.0,89.7,1,2,ball,R,outside,0,0
1996.0,78.0,0,2,ball,R,outside,0,0
2207.0,95.5,0,1,strike,R,inside,0,0
2226.0,94.8,0,0,foul,R,inside,0,0
2133.0,94.5,1,2,out,R,inside,1,1
1672.0,88.2,1,1,foul,R,inside,1,1
2255.0,95.0,1,0,foul,R,inside,1,1
2408.0,90.1,0,0,ball,R,outside,1,1
2202.0,94.8,3,0,walk,L,outside,0,1
1860.0,86.9,2,0,ball,L,outside,0,1
2415.0,91.7,1,0,ball,L,outside,0,1
2156.0,95.9,0,0,ball,L,outside,0,1
1780.0,90.2,1,2,out,R,outside,1,0
1751.0,88.6,1,1,strike,R,inside,1,0
2251.0,96.4,1,0,foul,R,inside,1,0
1707.0,90.4,0,0,ball,R,outside,1,0
1904.0,77.2,0,0,hit,R,inside,0,0
1629.0,89.5,2,2,out,L,inside,0,2
1645.0,88.4,2,1,foul,L,inside,0,2
2207.0,96.5,1,1,ball,L,outside,0,2
2210.0,97.1,0,1,ball,L,outside,0,2
1962.0,78.0,0,0,strike,L,inside,0,2
2259.0,96.7,1,1,out,R,inside,0,1
1995.0,78.1,1,0,strike,R,inside,0,1
2259.0,97.0,0,0,ball,R,outside,0,1
2172.0,96.1,0,0,out,L,inside,0,0
1450.0,87.0,1,2,hit,L,inside,3,1
2097.0,95.2,0,2,ball,L,outside,3,1
1485.0,86.9,0,1,strike,L,inside,3,1
1381.0,87.0,0,0,strike,L,inside,3,1
2123.0,89.3,3,2,out,L,outside,3,0
1489.0,84.5,3,2,foul,L,inside,3,0
1590.0,88.8,2,2,ball,L,outside,3,0
2086.0,93.7,1,2,ball,L,outside,3,0
2302.0,91.2,1,1,strike,L,inside,3,0
1517.0,87.7,1,0,strike,L,outside,3,0
2074.0,95.2,0,0,ball,L,outside,3,0
1956.0,94.5,3,2,walk,R,outside,2,0
1882.0,77.6,2,2,ball,R,outside,2,0
1893.0,93.4,2,2,foul,R,inside,2,0
1489.0,87.2,1,2,ball,R,outside,2,0
2068.0,96.4,1,2,foul,R,inside,2,0
1484.0,86.7,1,2,foul,R,inside,2,0
2162.0,94.9,1,1,foul,R,inside,2,0
2103.0,93.5,1,0,strike,R,outside,2,0
1891.0,76.2,0,0,ball,R,outside,2,0
2096.0,92.5,3,0,walk,L,outside,1,0
2203.0,94.6,2,0,ball,L,outside,1,0
2252.0,90.1,1,0,ball,L,outside,1,0
1526.0,88.2,0,0,ball,L,outside,1,0
1550.0,88.3,0,1,hit,R,outside,0,0
2073.0,94.2,0,0,strike,R,inside,0,0
